Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Response,Age,Total_Spend,Total_Purchases,Total_Dependents,Total_Campaigns_Accepted,Cluster,Cluster_Label
0,0,7500.0,24,3,9,1,30,122,7,0,0,1,Budget-Conscious
1,0,41728.0,92,1,10,0,58,55,4,1,0,1,Budget-Conscious
1,1,51381.5,96,3,6,0,75,124,7,3,0,0,Deal-Seeking Parents
2,0,72550.0,39,9,8,0,72,1319,19,2,0,0,Deal-Seeking Parents
1,1,65486.0,29,1,2,0,69,507,16,1,0,2,High-Value
2,0,79143.0,2,1,3,0,62,1693,28,0,0,2,High-Value
1,1,35790.0,54,2,7,0,49,72,5,1,0,1,Budget-Conscious
1,1,82582.0,54,1,1,1,49,1617,20,0,2,3,Premium Loyal
1,0,66373.0,57,7,3,0,48,606,16,2,0,0,Deal-Seeking Parents
2,0,82384.0,55,1,1,1,71,1957,26,0,1,3,Premium Loyal
1,1,70287.0,30,1,3,1,60,1093,20,0,0,3,Premium Loyal
1,1,27938.0,31,1,3,0,38,29,5,1,0,1,Budget-Conscious
1,1,51381.5,57,2,6,0,44,46,5,1,0,1,Budget-Conscious
2,0,55954.0,63,3,7,0,58,518,16,1,0,0,Deal-Seeking Parents
2,1,75777.0,12,1,1,1,44,1438,20,0,2,3,Premium Loyal
1,0,66653.0,18,4,3,0,51,612,18,2,0,0,Deal-Seeking Parents
1,1,61823.0,26,4,7,0,74,884,20,1,0,0,Deal-Seeking Parents
2,1,67680.0,8,1,5,0,75,606,18,1,0,2,High-Value
1,0,70666.0,29,1,4,0,78,1076,15,0,0,2,High-Value
1,0,25721.0,75,1,7,1,55,34,4,1,0,1,Budget-Conscious
1,0,32474.0,0,1,7,0,59,11,3,2,0,1,Budget-Conscious
0,1,88194.0,19,1,5,1,47,1274,31,1,2,3,Premium Loyal
1,0,69096.0,4,1,4,0,68,653,17,1,0,2,High-Value
1,0,74854.0,90,7,5,0,56,1562,12,3,0,0,Deal-Seeking Parents
2,0,66991.0,1,3,3,0,72,1253,18,0,0,2,High-Value
0,0,51381.5,25,3,8,0,53,109,6,1,0,1,Budget-Conscious
1,0,65031.0,29,4,7,0,67,863,26,1,0,0,Deal-Seeking Parents
2,0,60631.0,88,5,7,0,51,661,19,2,1,0,Deal-Seeking Parents
1,0,28332.0,58,1,2,0,74,65,7,0,0,1,Budget-Conscious
1,1,40246.0,68,1,6,0,49,13,3,1,0,1,Budget-Conscious
2,0,75251.0,34,1,5,1,54,1890,18,0,0,3,Premium Loyal
1,1,75825.0,40,0,4,1,50,2209,22,0,1,3,Premium Loyal
0,0,26326.0,12,1,3,0,50,18,3,0,0,1,Budget-Conscious
1,0,56046.0,9,2,8,1,61,692,19,0,1,3,Premium Loyal
1,1,29760.0,87,4,8,0,41,165,8,1,0,1,Budget-Conscious
1,0,26304.0,5,1,7,0,57,16,3,1,0,1,Budget-Conscious
0,0,23559.0,87,3,7,0,53,79,6,1,0,1,Budget-Conscious
2,0,38620.0,56,1,3,0,63,318,10,0,0,2,High-Value
1,1,81361.0,18,1,1,0,39,778,26,0,0,2,High-Value
1,0,29440.0,95,2,7,0,66,56,5,2,0,1,Budget-Conscious
2,0,36138.0,48,5,7,0,56,151,8,2,1,0,Deal-Seeking Parents
1,1,50388.0,3,4,7,1,69,372,13,1,2,3,Premium Loyal
1,0,79593.0,70,1,2,0,53,1366,18,0,1,2,High-Value
1,0,54178.0,79,1,2,0,59,194,9,1,0,1,Budget-Conscious
2,0,51381.5,4,12,9,0,69,603,17,3,0,0,Deal-Seeking Parents
1,1,51381.5,45,1,7,0,69,18,3,2,0,1,Budget-Conscious
2,0,51381.5,87,1,1,0,53,985,14,0,0,2,High-Value
2,1,42394.0,69,1,7,0,54,32,4,1,0,1,Budget-Conscious
2,0,23626.0,84,3,5,0,56,43,7,1,0,1,Budget-Conscious
1,0,30096.0,30,1,6,0,43,45,5,1,0,1,Budget-Conscious
1,1,47916.0,72,5,6,0,66,606,17,1,1,0,Deal-Seeking Parents
1,1,51813.0,37,2,7,0,54,63,5,2,0,1,Budget-Conscious
0,0,78497.0,44,1,2,0,75,978,24,0,1,2,High-Value
2,0,50150.0,32,2,5,0,43,410,14,0,0,2,High-Value
0,1,47823.0,0,2,8,0,66,72,5,1,0,1,Budget-Conscious
2,1,34554.0,43,2,6,0,67,55,5,1,0,1,Budget-Conscious
1,0,85693.0,59,2,5,0,47,1169,25,1,0,2,High-Value
2,0,65846.0,68,1,4,0,81,1120,15,0,0,2,High-Value
1,0,87195.0,35,1,1,1,67,1097,19,0,0,3,Premium Loyal
0,0,24594.0,94,1,5,0,47,29,4,1,0,1,Budget-Conscious
1,0,49096.0,15,4,7,0,62,187,9,2,0,0,Deal-Seeking Parents
1,0,52413.0,56,4,6,0,57,910,22,2,0,0,Deal-Seeking Parents
1,1,38557.0,17,2,7,0,48,145,7,1,0,1,Budget-Conscious
2,0,89058.0,18,1,2,0,66,850,13,0,0,2,High-Value
1,0,77298.0,46,1,3,0,47,969,23,1,0,2,High-Value
2,1,68126.0,40,1,9,1,35,1820,16,0,1,3,Premium Loyal
2,0,57288.0,27,3,6,0,63,608,17,1,1,0,Deal-Seeking Parents
1,1,86037.0,95,1,3,1,35,730,24,0,2,3,Premium Loyal
2,0,43974.0,19,5,7,0,46,551,16,1,0,0,Deal-Seeking Parents
1,1,50785.0,27,2,6,0,64,114,6,2,0,1,Budget-Conscious
1,0,90765.0,25,0,1,0,56,1724,15,0,2,3,Premium Loyal
0,0,36550.0,74,5,9,0,48,577,15,1,0,0,Deal-Seeking Parents
0,0,30753.0,85,2,5,0,59,81,5,2,0,1,Budget-Conscious
1,0,21918.0,37,2,6,0,57,33,5,1,0,1,Budget-Conscious
2,0,56129.0,65,4,4,0,73,660,18,1,0,0,Deal-Seeking Parents
2,1,32557.0,13,3,5,1,59,80,6,1,0,1,Budget-Conscious
2,0,19510.0,63,2,7,0,41,30,4,2,0,1,Budget-Conscious
1,1,30992.0,83,1,7,0,50,43,4,1,0,1,Budget-Conscious
1,1,101970.0,69,0,2,1,43,1135,27,0,3,3,Premium Loyal
0,0,71488.0,87,2,1,0,61,559,14,0,0,2,High-Value
1,1,79607.0,37,1,1,1,42,1923,15,0,0,3,Premium Loyal
2,0,54348.0,51,2,6,0,73,90,6,2,0,1,Budget-Conscious
2,0,51381.5,23,3,6,0,65,404,14,1,0,0,Deal-Seeking Parents
2,0,77376.0,72,4,4,0,70,661,19,2,0,0,Deal-Seeking Parents
1,0,62998.0,10,5,5,0,74,463,14,1,0,0,Deal-Seeking Parents
2,1,61331.0,42,5,8,0,68,632,18,2,0,0,Deal-Seeking Parents
1,0,73448.0,10,1,4,0,57,725,18,0,0,2,High-Value
1,0,51381.5,96,1,4,0,63,725,18,1,0,2,High-Value
2,0,41551.0,51,5,8,0,62,279,11,2,0,0,Deal-Seeking Parents
2,0,62981.0,21,1,3,0,59,1482,22,0,1,2,High-Value
0,1,9548.0,31,2,8,0,50,29,4,1,0,1,Budget-Conscious
2,0,33762.0,61,3,8,0,67,106,6,3,0,1,Budget-Conscious
2,1,35860.0,37,2,5,1,53,49,4,2,1,1,Budget-Conscious
2,1,36921.0,74,2,7,0,61,38,5,2,0,1,Budget-Conscious
2,1,92859.0,46,1,2,0,34,2077,21,0,0,2,High-Value
2,0,65104.0,4,2,7,1,50,1053,15,1,0,3,Premium Loyal
1,0,86111.0,73,1,2,0,64,1385,22,0,0,2,High-Value
2,1,68352.0,47,3,6,0,52,871,22,1,0,2,High-Value
1,0,41883.0,13,3,7,0,38,312,9,1,0,1,Budget-Conscious
1,0,59809.0,36,3,8,0,50,877,12,2,0,0,Deal-Seeking Parents
1,0,23957.0,47,1,6,1,51,68,5,1,0,1,Budget-Conscious
1,0,38547.0,49,1,8,0,45,22,3,1,0,1,Budget-Conscious
0,0,35688.0,94,7,8,0,53,211,9,3,0,0,Deal-Seeking Parents
2,0,49605.0,65,1,3,0,60,127,7,0,0,1,Budget-Conscious
2,0,59354.0,59,1,3,0,73,459,15,2,0,2,High-Value
1,0,65747.0,96,4,6,0,57,460,15,1,1,0,Deal-Seeking Parents
0,0,46344.0,28,4,7,0,54,429,13,1,0,1,Budget-Conscious
1,1,34176.0,12,4,6,0,38,89,7,1,0,1,Budget-Conscious
2,0,61010.0,57,2,5,0,74,1021,24,1,0,2,High-Value
1,0,69372.0,10,1,4,1,77,1381,20,0,2,3,Premium Loyal
1,1,49967.0,4,3,7,0,68,306,12,1,0,1,Budget-Conscious
1,1,60199.0,49,1,4,0,48,18,3,3,0,1,Budget-Conscious
1,0,55375.0,3,1,2,0,49,162,8,1,0,1,Budget-Conscious
1,1,80317.0,64,1,1,0,71,1231,17,0,0,2,High-Value
2,1,30523.0,0,1,7,0,68,13,3,3,0,1,Budget-Conscious
2,0,70356.0,20,2,6,0,81,1706,25,0,0,2,High-Value
1,0,23228.0,91,4,8,0,42,121,7,1,0,1,Budget-Conscious
2,1,74165.0,9,1,2,0,51,1293,19,0,0,2,High-Value
2,0,157243.0,98,15,0,0,53,1608,22,1,0,0,Deal-Seeking Parents
1,0,43482.0,83,3,6,0,60,88,6,3,0,1,Budget-Conscious
1,1,62551.0,27,1,3,0,73,421,17,0,1,2,High-Value
1,1,52332.0,63,1,4,0,67,259,11,0,1,2,High-Value
1,1,66951.0,46,1,1,0,38,1117,14,0,0,2,High-Value
1,0,26091.0,84,3,5,0,69,89,6,2,0,1,Budget-Conscious
1,0,33456.0,58,2,7,0,61,36,4,2,0,1,Budget-Conscious
1,0,28718.0,78,2,8,0,44,57,5,1,0,1,Budget-Conscious
1,0,50447.0,4,1,6,0,56,148,7,2,0,1,Budget-Conscious
2,0,53537.0,17,2,5,0,67,93,6,2,0,1,Budget-Conscious
1,1,52074.0,77,1,4,0,59,119,6,1,1,1,Budget-Conscious
2,0,80427.0,56,1,5,0,51,1835,27,1,0,2,High-Value
2,0,83837.0,79,1,4,1,78,1318,24,0,2,3,Premium Loyal
2,0,38853.0,90,2,7,0,56,45,5,2,0,1,Budget-Conscious
1,0,38285.0,96,1,2,0,67,10,3,3,0,1,Budget-Conscious
0,0,78497.0,44,1,2,0,75,978,24,0,1,2,High-Value
2,0,51650.0,81,1,5,0,50,191,9,1,0,1,Budget-Conscious
0,0,16248.0,77,3,6,0,38,57,6,1,0,1,Budget-Conscious
2,0,66835.0,21,1,2,0,80,1033,23,0,0,2,High-Value
2,0,30477.0,16,1,6,0,42,66,5,1,0,1,Budget-Conscious
0,0,28249.0,80,1,6,0,65,43,5,0,0,1,Budget-Conscious
1,0,25271.0,45,1,9,0,43,50,4,1,0,1,Budget-Conscious
2,1,32303.0,63,2,5,0,56,39,5,1,0,1,Budget-Conscious
1,0,61286.0,34,2,5,0,60,608,16,1,0,2,High-Value
1,0,74068.0,14,1,2,0,50,1581,23,0,0,2,High-Value
2,0,45759.0,13,2,7,0,62,68,5,2,0,1,Budget-Conscious
0,0,24882.0,52,1,6,0,48,80,4,1,1,1,Budget-Conscious
2,0,66973.0,98,1,3,0,37,1282,27,0,0,2,High-Value
1,0,38872.0,93,2,8,0,38,91,6,1,0,1,Budget-Conscious
1,0,51148.0,38,4,6,0,53,315,12,2,0,0,Deal-Seeking Parents
1,0,31353.0,24,2,8,0,49,31,4,2,0,1,Budget-Conscious
2,0,69661.0,80,1,3,0,46,834,22,0,0,2,High-Value
1,0,80067.0,82,1,2,0,72,1600,16,0,1,2,High-Value
1,0,86718.0,20,1,2,0,72,1270,16,0,0,2,High-Value
2,1,46854.0,81,6,8,1,53,263,9,2,1,0,Deal-Seeking Parents
1,1,69142.0,50,3,5,0,74,535,16,1,1,2,High-Value
1,1,75922.0,60,1,1,0,58,1295,17,0,0,2,High-Value
1,1,63693.0,63,3,6,0,48,1150,26,1,0,2,High-Value
2,0,102160.0,54,0,4,1,49,1240,26,0,3,3,Premium Loyal
2,1,40637.0,72,2,7,0,61,38,4,2,0,1,Budget-Conscious
2,1,18890.0,5,1,6,1,42,35,3,0,1,1,Budget-Conscious
1,0,29604.0,88,1,9,0,38,53,4,1,1,1,Budget-Conscious
2,1,48721.0,50,6,6,0,63,293,11,2,0,0,Deal-Seeking Parents
1,0,44794.0,99,1,6,0,60,65,5,1,0,1,Budget-Conscious
1,1,64497.0,17,5,8,1,72,1804,24,1,1,3,Premium Loyal
1,0,46097.0,11,5,4,0,70,241,10,1,0,0,Deal-Seeking Parents
1,0,77972.0,18,1,1,0,72,1101,19,0,0,2,High-Value
2,0,44377.0,70,8,8,0,58,264,11,2,0,0,Deal-Seeking Parents
2,0,46014.0,21,10,7,0,52,541,16,2,0,0,Deal-Seeking Parents
1,0,70951.0,66,1,1,0,41,1198,16,0,0,2,High-Value
1,0,41443.0,79,6,8,0,49,482,14,1,0,0,Deal-Seeking Parents
0,1,52195.0,2,1,8,0,48,17,3,3,0,1,Budget-Conscious
2,0,83790.0,81,1,3,0,78,1615,24,0,2,3,Premium Loyal
2,1,44551.0,24,2,7,0,72,285,10,1,0,1,Budget-Conscious
1,0,69508.0,48,2,6,0,46,1135,26,1,0,2,High-Value
0,0,45204.0,93,1,3,0,38,114,6,1,0,1,Budget-Conscious
1,0,72460.0,56,1,1,0,57,1047,15,0,0,2,High-Value
2,0,77622.0,3,2,3,0,56,714,20,2,0,2,High-Value
2,0,30732.0,44,4,8,0,46,185,9,1,0,1,Budget-Conscious
1,1,63887.0,38,5,6,0,64,1245,27,1,0,0,Deal-Seeking Parents
1,0,42011.0,46,4,8,0,48,189,8,1,0,1,Budget-Conscious
1,0,51369.0,84,2,8,0,50,576,14,1,0,1,Budget-Conscious
1,1,51537.0,27,3,8,0,74,1103,15,1,0,0,Deal-Seeking Parents
2,0,79930.0,72,1,2,0,54,1753,16,0,0,2,High-Value
2,0,34320.0,66,1,8,0,40,17,3,1,0,1,Budget-Conscious
1,1,37070.0,30,9,7,1,60,433,14,2,0,0,Deal-Seeking Parents
0,1,81975.0,2,1,7,0,64,1588,13,1,1,2,High-Value
1,0,38590.0,65,1,8,0,55,22,3,1,0,1,Budget-Conscious
1,1,15033.0,37,1,3,0,75,19,4,0,0,1,Budget-Conscious
2,0,62745.0,89,3,5,0,61,1117,26,1,0,2,High-Value
0,0,22212.0,49,2,6,0,51,69,6,1,0,1,Budget-Conscious
2,0,23661.0,46,1,7,0,44,23,4,1,0,1,Budget-Conscious
2,1,79761.0,32,1,3,0,68,605,18,1,0,2,High-Value
1,1,7500.0,54,4,7,0,53,57,7,1,0,1,Budget-Conscious
1,1,73455.0,98,1,3,0,58,2088,21,0,1,2,High-Value
1,0,64961.0,97,2,3,0,68,1009,14,1,0,2,High-Value
1,1,22804.0,75,1,9,0,55,26,4,1,0,1,Budget-Conscious
1,0,73687.0,8,1,2,1,36,1627,21,0,1,3,Premium Loyal
1,0,61074.0,37,7,7,0,68,1102,24,1,0,0,Deal-Seeking Parents
2,0,31686.0,31,2,6,0,62,17,4,2,0,1,Budget-Conscious
1,0,80134.0,40,2,6,1,54,1690,14,1,3,3,Premium Loyal
1,0,75027.0,74,2,5,0,73,1390,19,1,0,2,High-Value
2,0,67546.0,90,1,3,0,38,2126,19,0,0,2,High-Value
2,0,65176.0,57,4,6,0,57,1531,21,1,0,2,High-Value
2,1,31160.0,59,2,8,0,51,64,5,1,0,1,Budget-Conscious
1,1,29938.0,52,2,6,0,41,26,4,1,0,1,Budget-Conscious
1,1,102692.0,5,1,2,1,52,1112,28,0,4,3,Premium Loyal
0,0,26490.0,92,2,6,0,68,210,9,0,0,1,Budget-Conscious
1,0,75702.0,77,5,8,0,59,1148,21,2,0,0,Deal-Seeking Parents
2,1,30899.0,35,2,6,0,52,33,4,1,0,1,Budget-Conscious
2,0,63342.0,48,3,6,0,65,1101,16,1,1,2,High-Value
1,1,45989.0,97,4,3,0,62,322,12,1,0,0,Deal-Seeking Parents
1,1,18701.0,95,4,5,0,62,44,6,2,0,1,Budget-Conscious
2,1,40737.0,24,1,8,0,69,17,3,3,0,1,Budget-Conscious
1,1,15287.0,60,2,7,1,47,31,4,1,1,1,Budget-Conscious
2,1,69674.0,46,3,5,0,58,845,22,2,0,0,Deal-Seeking Parents
2,0,44159.0,85,4,5,0,56,275,11,1,0,0,Deal-Seeking Parents
2,0,37717.0,31,1,9,0,48,25,3,1,0,1,Budget-Conscious
2,0,43776.0,9,6,8,1,74,275,11,2,0,0,Deal-Seeking Parents
2,0,38179.0,30,4,7,0,60,90,7,2,0,0,Deal-Seeking Parents
1,0,80124.0,47,1,1,0,63,1495,18,0,1,2,High-Value
2,0,38097.0,70,4,7,1,56,184,7,2,1,0,Deal-Seeking Parents
1,0,72940.0,13,1,1,0,56,981,12,0,0,2,High-Value
1,0,22070.0,11,2,6,0,56,67,6,1,0,1,Budget-Conscious
1,1,69267.0,31,2,7,1,73,1635,12,0,0,3,Premium Loyal
2,1,31788.0,15,3,5,0,43,60,7,1,0,1,Budget-Conscious
2,0,61905.0,2,2,5,0,51,231,10,1,0,1,Budget-Conscious
1,0,29315.0,55,4,6,0,66,48,6,2,0,1,Budget-Conscious
1,1,33378.0,38,3,7,0,63,99,6,2,0,1,Budget-Conscious
2,0,66313.0,86,2,4,0,63,770,21,1,0,2,High-Value
1,1,60714.0,56,2,5,1,70,957,21,0,0,3,Premium Loyal
2,0,77882.0,29,1,1,0,45,818,11,0,0,2,High-Value
2,1,69867.0,30,1,1,1,40,925,16,0,1,3,Premium Loyal
2,1,63841.0,64,1,6,0,58,908,21,1,0,2,High-Value
0,0,24480.0,46,3,7,0,45,102,7,1,0,1,Budget-Conscious
1,0,51369.0,84,2,8,0,50,576,14,1,0,1,Budget-Conscious
1,0,37760.0,20,2,7,0,80,317,11,0,0,1,Budget-Conscious
2,0,65640.0,74,1,2,0,52,461,14,1,0,2,High-Value
2,0,44319.0,18,2,5,0,51,37,5,2,0,1,Budget-Conscious
1,0,30631.0,75,1,7,0,52,70,6,1,0,1,Budget-Conscious
1,0,75278.0,17,1,3,0,74,930,22,0,0,2,High-Value
2,0,50898.0,88,13,5,0,70,859,20,2,0,0,Deal-Seeking Parents
1,1,79946.0,19,1,3,0,60,1478,21,0,0,2,High-Value
2,1,35416.0,62,3,8,0,77,390,13,0,0,0,Deal-Seeking Parents
0,0,32414.0,11,1,7,0,42,52,4,0,1,1,Budget-Conscious
1,0,38361.0,74,3,7,0,57,137,7,1,0,1,Budget-Conscious
1,0,82497.0,32,1,4,0,46,1919,18,0,1,2,High-Value
1,0,16626.0,76,3,9,0,55,68,6,2,0,1,Budget-Conscious
1,0,29672.0,6,1,6,0,61,25,3,2,0,1,Budget-Conscious
2,0,55951.0,62,3,8,0,74,1374,20,1,2,0,Deal-Seeking Parents
0,1,35388.0,20,1,7,0,38,32,4,1,0,1,Budget-Conscious
2,0,42386.0,43,1,8,0,40,100,6,1,0,1,Budget-Conscious
1,1,68627.0,45,1,1,0,44,825,11,0,0,2,High-Value
2,1,57912.0,34,5,5,0,61,916,23,1,1,0,Deal-Seeking Parents
1,1,35246.0,53,4,5,0,68,62,7,2,0,1,Budget-Conscious
0,0,58821.0,44,1,6,0,70,728,20,1,0,2,High-Value
2,0,46377.0,89,1,4,0,48,90,6,1,0,1,Budget-Conscious
1,1,39747.0,43,3,8,0,38,273,10,1,0,1,Budget-Conscious
1,0,23976.0,68,3,7,0,42,66,7,1,0,1,Budget-Conscious
2,0,80950.0,44,1,2,0,65,1213,22,0,1,2,High-Value
1,1,27038.0,64,1,9,1,60,107,6,0,0,1,Budget-Conscious
1,1,77457.0,85,1,1,0,79,1157,17,0,1,2,High-Value
2,0,64100.0,93,1,7,0,62,546,17,1,1,2,High-Value
2,0,42670.0,12,1,4,0,34,241,10,0,0,1,Budget-Conscious
1,1,12571.0,86,4,6,0,50,53,7,1,0,1,Budget-Conscious
1,0,22574.0,28,2,7,0,59,37,5,3,0,1,Budget-Conscious
1,0,51381.5,69,1,3,0,37,1611,23,0,2,3,Premium Loyal
2,1,70893.0,42,1,3,0,50,1508,22,0,0,2,High-Value
1,0,54198.0,13,6,4,0,60,235,10,2,0,0,Deal-Seeking Parents
2,0,28839.0,86,2,5,0,70,32,5,2,0,1,Budget-Conscious
1,0,40321.0,59,2,7,0,54,102,6,2,0,1,Budget-Conscious
1,1,66503.0,30,2,3,0,41,401,13,1,0,2,High-Value
1,0,30833.0,33,2,5,0,75,28,4,2,0,1,Budget-Conscious
1,1,51381.5,67,6,7,0,56,1052,15,3,2,0,Deal-Seeking Parents
1,0,64795.0,23,3,2,0,55,680,18,1,0,2,High-Value
1,0,34421.0,81,1,7,0,52,30,3,1,0,1,Budget-Conscious
2,1,47025.0,6,1,7,0,61,20,3,2,0,1,Budget-Conscious
2,1,64325.0,41,5,7,0,65,1307,18,1,0,0,Deal-Seeking Parents
1,1,40464.0,78,6,8,0,73,630,18,1,0,0,Deal-Seeking Parents
1,0,62187.0,49,1,3,0,69,1283,17,0,0,2,High-Value
2,1,14849.0,39,3,8,0,50,65,6,1,0,1,Budget-Conscious
1,0,27255.0,3,1,7,0,42,37,4,1,0,1,Budget-Conscious
2,0,54432.0,37,1,4,0,76,38,4,3,0,1,Budget-Conscious
2,1,29999.0,22,4,8,0,40,160,8,1,0,1,Budget-Conscious
1,1,24072.0,79,1,8,0,43,23,3,1,0,1,Budget-Conscious
2,1,33996.0,46,1,4,0,37,71,5,0,0,1,Budget-Conscious
2,0,66334.0,82,2,5,1,70,1161,17,1,0,2,High-Value
2,0,35178.0,10,1,7,1,55,59,4,1,1,1,Budget-Conscious
1,0,22010.0,51,2,8,0,43,33,5,1,0,1,Budget-Conscious
1,1,62204.0,38,1,3,0,66,946,21,2,0,2,High-Value
1,1,75693.0,10,1,4,1,58,1442,21,0,3,3,Premium Loyal
1,0,30675.0,14,1,8,0,54,62,4,1,0,1,Budget-Conscious
1,0,83003.0,18,1,3,1,61,1674,21,0,1,3,Premium Loyal
1,1,68655.0,95,1,3,0,38,1538,20,0,0,2,High-Value
1,1,41411.0,11,1,6,0,40,139,7,0,0,1,Budget-Conscious
2,0,55212.0,65,3,8,0,57,1182,17,1,2,0,Deal-Seeking Parents
2,0,59292.0,71,2,3,0,76,507,16,1,0,2,High-Value
0,0,27190.0,13,1,8,1,53,18,3,1,1,1,Budget-Conscious
1,1,82623.0,58,1,1,0,74,940,15,0,0,2,High-Value
1,0,44300.0,65,2,6,0,61,42,4,2,0,1,Budget-Conscious
1,1,84835.0,0,1,1,1,56,1190,14,0,0,3,Premium Loyal
1,1,30372.0,33,3,7,0,55,44,5,2,0,1,Budget-Conscious
2,0,33181.0,90,1,6,0,50,16,3,1,1,1,Budget-Conscious
1,0,71113.0,95,4,4,0,69,835,22,1,0,2,High-Value
1,0,71952.0,93,2,4,0,40,1443,20,1,2,2,High-Value
2,1,69759.0,38,3,3,1,60,1029,15,0,0,3,Premium Loyal
1,0,72099.0,18,1,1,0,52,1188,17,0,0,2,High-Value
2,1,60000.0,57,5,6,0,50,1277,19,1,0,0,Deal-Seeking Parents
1,1,38643.0,45,2,7,0,48,49,5,2,0,1,Budget-Conscious
1,0,50737.0,61,1,6,0,71,99,6,1,1,1,Budget-Conscious
2,0,68462.0,6,1,1,0,57,1670,14,0,0,2,High-Value
2,0,65073.0,65,1,2,0,83,900,13,0,0,2,High-Value
2,0,46681.0,52,2,5,0,78,425,14,2,0,0,Deal-Seeking Parents
1,0,78618.0,87,1,2,0,69,2153,21,0,1,2,High-Value
2,1,62187.0,38,3,4,0,57,636,18,1,0,2,High-Value
1,0,28442.0,53,3,4,0,48,57,7,2,0,1,Budget-Conscious
2,0,37717.0,31,1,9,0,48,25,3,1,0,1,Budget-Conscious
1,0,51479.0,67,7,7,0,59,494,15,2,0,0,Deal-Seeking Parents
1,1,54803.0,65,2,4,0,57,693,17,1,0,2,High-Value
1,0,79530.0,64,1,2,0,66,1348,25,0,0,2,High-Value
1,1,31615.0,82,2,7,0,50,51,5,1,0,1,Budget-Conscious
1,0,72025.0,27,1,3,0,64,1932,15,0,0,2,High-Value
2,1,52614.0,63,2,8,0,51,990,14,1,0,0,Deal-Seeking Parents
0,0,35684.0,66,1,6,0,42,30,4,1,0,1,Budget-Conscious
1,0,48178.0,69,6,8,0,51,254,10,2,0,0,Deal-Seeking Parents
2,1,29548.0,52,1,4,0,56,29,4,1,1,1,Budget-Conscious
1,1,63810.0,45,4,8,0,60,1371,19,1,1,0,Deal-Seeking Parents
